Country Name,Country Code,Labour Force (2024),Region,%Indoor Essential Workers,%Indoor Vital Workers,%Essential Workers,%Vital Workers,%Armed Forces (Indoor Essential),%Armed Forces (Essential),%Onsite Excluded Essential (ISCO 61+63),%Onsite Excluded Vital (ISCO 61+63),Indoor Essential Workers,Indoor Vital Workers,Essential Workers,Vital Workers,Armed Forces (Indoor Essential),Armed Forces (Essential),Indoor Essential CADR Requirement (L/s),Indoor Vital CADR Requirement (L/s),Scaled ECA Essential (L/s/person),Scaled ECA Vital (L/s/person)
Australia,AUS,14900000.0,Australia and New Zealand,0.17537353477915513,0.07345076825779659,0.2496524683733548,0.11650002478084233,0.0001574261217391232,0.0001574261217391232,0.013304830192332784,0.013304830192332784,2613065.668209411,1094416.4470411693,3719821.7787629864,1735850.3692345507,2345.649213912936,2345.649213912936,396363192.22609144,178926872.2595723,151.68512488922528,163.49066458505214
Austria,AUT,4770000.0,Western Europe,0.24639920689942485,0.10450904262114573,0.3455000000000001,0.16007165222303843,0.0010340974846205333,0.0010340974846205333,0.024579385902355186,0.024579385902355186,1175324.2169102565,498508.13330286514,1648035.0000000005,763541.7811038933,4932.645001639944,4932.645001639944,164506676.38926527,75308470.67575887,139.96706102230036,151.06768705417636
Azerbaijan,AZE,5020000.0,Western Asia,0.22356845091334615,0.11466754248719702,0.5597999999999999,0.4162491378224959,,,0.2985218758642044,0.2985218758642044,1122313.6235849976,575631.063285729,2810195.999999999,2089570.6718689294,,,54588110.226899624,30035783.23737312,133.4247668136394,143.13550241480092
Burundi,BDI,6110000.0,Eastern Africa,0.06831965932684798,0.027403852557963345,0.8336938175005955,0.7806109080596907,0.00011700439674907038,0.00011700439674907038,0.7335864936228971,0.7335864936228971,417433.1184870412,167437.53912915604,5093869.224928638,4769532.64824471,714.89686413682,714.89686413682,52068076.33316435,23782115.692214556,124.73393707207913,142.03574548399078
Belgium,BEL,5420000.0,Western Europe,0.2170778357061012,0.0869985619781256,0.3011773125950597,0.1319079019580343,0.0016122162919301717,0.0016122162919301717,0.009735542782315061,0.009735542782315061,1176561.8695270685,471532.20592144073,1632381.0342652237,714940.828612546,8738.21230226153,8738.21230226153,169759317.1475958,75781746.74992387,144.2842246926057,160.71382993200984
Benin,BEN,6400000.0,Western Africa,0.38971276596329846,0.17423621984262339,0.715295880558692,0.4510789808487938,0.0005400879589659506,0.0005400879589659506,0.37982755403588475,0.37982755403588475,2494161.70216511,1115111.8069927897,4577893.635575629,2886905.4774322803,3456.5629373820834,3456.5629373820834,319220241.8060264,157676867.87709773,127.98698718247518,141.40005234301788
Burkina Faso,BFA,6460000.0,Western Africa,0.1835815126251191,0.047730301333383976,0.6907999999999997,0.5298942956092263,0.0007949683822855494,0.0007949683822855494,0.4749053308661468,0.4749053308661468,1185936.5715582694,308337.7466136605,4462567.999999998,3423117.149635602,5135.4957495646495,5135.4957495646495,145469378.0635038,41349427.568544134,122.6620221959791,134.10433209254117
Bangladesh,BGD,77400000.0,Southern Asia,0.3673847264166374,0.23504059748289316,0.6733875906298148,0.5011425695317169,0.0006693348173980723,0.0006693348173980723,0.3424204836665357,0.3424204836665357,28435577.824647732,18192142.24517593,52120199.514747664,38788434.88175488,51806.5148666108,51806.5148666108,3814979455.702293,2588724244.847684,134.16219213929597,142.29903273398955
Bulgaria,BGR,3120000.0,Eastern Europe,0.2580535915258811,0.10666896347717995,0.3941373882712756,0.1924322224200577,0.003181986337684567,0.003181986337684567,0.017892462541149755,0.017892462541149755,805127.205560749,332807.16604880145,1229708.6514063799,600388.53395058,9927.797373575848,9927.797373575848,106532510.03427893,46988148.523343205,132.31761304113672,141.1873100005697
Bahrain,BHR,913000.0,Western Asia,0.21424340641532813,0.07847489985534638,0.338885901391434,0.1474410270393206,,,0.011248434381214466,0.011248434381214466,195604.2300571946,71647.58356793124,309402.8279703792,134613.6576868997,,,185033333.4213107,75305493.88996974,121.81373870061434,135.34731846635725
Bahamas,BHS,237000.0,Caribbean,0.2774364991171394,0.10651384161964592,0.3976017120177873,0.16986872518776946,0.0003880279190819827,0.0003880279190819827,0.013040127765290429,0.013040127765290429,65752.45029076203,25243.78046385608,94231.60574821559,40258.88786950136,91.96261682242991,91.96261682242991,7759095.541350105,3123764.0281725675,118.00466000945714,123.74390724262388
Bosnia and Herzegovina,BIH,1360000.0,Southern Europe,0.26144499834427953,0.11574162195656063,0.47700000000000026,0.28655088058353084,0.0024305963276667177,0.0024305963276667177,0.1133322307532296,0.1133322307532296,355565.1977482202,157408.60586092246,648720.0000000003,389709.19759360194,3305.611005626736,3305.611005626736,46638214.592751466,22374358.997441497,131.16642148362484,142.14190434549838
Belarus,BLR,4820000.0,Eastern Europe,0.2628335600289181,0.12860178167393482,0.41867225846371686,0.23128756363266825,0.0,0.0,0.021754458865927598,0.021754458865927598,1266857.7593393852,619860.5876683658,2018000.2857951152,1114806.056709461,0.0,0.0,176138520.44304302,91797827.00467987,139.03575136556142,148.09431157735264
Belize,BLZ,190000.0,Central America,0.3255909076674844,0.13385579374000536,0.5349832157817883,0.28167471463641386,0.0018225181631443266,0.0018225181631443266,0.05852782028482016,0.05852782028482016,61862.27245682204,25432.60081060102,101646.81099853978,53518.195780918635,346.27845099742206,346.27845099742206,7848678.003461279,3442483.147579885,126.87341883438593,135.35710221759788
Bermuda,BMU,52878.0,Northern America,0.23076549850840503,0.10731223548237952,0.38278607738384335,0.21880174270340585,,,0.08816518991566123,0.08816518991566123,12202.418030127441,5674.456387837264,20240.962199902868,11569.798550670695,,,406726.10910404735,196659.51676318093,127.16510183218011,132.22162654315068
Bolivia,BOL,6860000.0,South America,0.3496718942274412,0.16056643917790858,0.5623999999999999,0.3175716506780654,0.0003106734414075108,0.0003106734414075108,0.19333187789981285,0.19333187789981285,2398749.1944002467,1101485.772760453,3858063.9999999995,2178541.5236515286,2131.219808055524,2131.219808055524,315399295.1504075,159479432.29386497,131.4848988325626,144.78573962348216
Brazil,BRA,107000000.0,South America,0.26108109847208477,0.09605829693542102,0.3921760355914149,0.17769940195897785,0.0032387487967025477,0.0032387487967025477,0.03475074874883489,0.03475074874883489,27935677.53651307,10278237.77209005,41962835.80828139,19013836.00961063,346546.1212471726,346546.1212471726,3702783378.6754575,1543617952.1217716,132.54675401503215,150.1831331741882
Barbados,BRB,147000.0,Caribbean,0.23736349042703478,0.0930336675748795,0.3540089994701518,0.1497176399814801,0.0,0.0,0.022795864951053287,0.022795864951053287,34892.43309277411,13675.949133507287,52039.32292211231,22008.493077277577,0.0,0.0,4397965.828428173,1855182.875762201,126.04354120948219,135.65295232173966
Brunei Darussalam,BRN,234000.0,South-eastern Asia,0.23003633620559688,0.09146157987717651,0.3142665738411785,0.13715952987975,0.011271168197474169,0.011271168197474169,0.006238475662312823,0.006238475662312823,53828.50267210967,21402.009691259304,73538.37827883576,32095.3299918615,2637.4533582089557,2637.4533582089557,6459486.666624216,2687642.2200994105,120.00123254349948,125.57896472671247
Bhutan,BTN,406000.0,Southern Asia,0.28671959532521646,0.22310974009031231,0.5611219551428901,0.46947115897538133,0.003569658975850406,0.003569658975850406,0.36731315571210066,0.36731315571210066,116408.15570203788,90582.5544766668,227815.51378801337,190605.29054400482,1449.2815441952648,1449.2815441952648,15878785.507179085,12695726.420441017,136.40612559675753,140.156418570767
Botswana,BWA,1170000.0,Southern Africa,0.23793332086418126,0.09590866145651233,0.5099738595384374,0.3202281135965851,0.0007387702399031061,0.0007387702399031061,0.14549414751859813,0.14549414751859813,278381.98541109206,112213.13390411943,596669.4156599718,374666.8929080046,864.3611806866342,864.3611806866342,33053575.58790119,14372284.014827693,118.73460683560518,128.08023013694722
Central African Republic,CAF,2000000.0,Middle Africa,0.3417948919679772,0.12044914541278502,0.6332906119481685,0.3472104966073602,,,0.23726923149485568,0.23726923149485568,683589.7839359543,240898.29082557003,1266581.223896337,694420.9932147204,,,456366461.0397254,181483308.4684459,127.16244011056183,143.49727892887026
Canada,CAN,22900000.0,Northern America,0.2108046006196083,0.09128828712908334,0.2957999999999999,0.1382431325611111,,,0.003199453654144991,0.003199453654144991,4827425.35418903,2090501.7752560084,6773819.999999997,3165767.735649444,,,5471762194.541141,2626288235.5817904,149.1756302832058,165.34005647381673
Switzerland,CHE,5150000.0,Western Europe,0.2269808581431546,0.10546318951098425,0.30774074046956557,0.15041140983193835,0.0004674721077363564,0.0004674721077363564,0.0168608997294831,0.0168608997294831,1168951.4194372462,543135.4259815689,1584864.8134182626,774618.7606344825,2407.4813548422353,2407.4813548422353,171266262.38633546,85184622.72106698,146.5127288769503,156.83864216207044
Chile,CHL,10100000.0,South America,0.277719771473866,0.10535211768188774,0.4278650490220115,0.19907315190131408,0.0009729429882350458,0.0009729429882350458,0.020445348614147086,0.020445348614147086,2804969.6918860464,1064056.3885870662,4321436.995122316,2010638.8342032721,9826.724181173962,9826.724181173962,370045053.7146655,155937395.4970961,131.92479575986047,146.54993585834436
China,CHN,774000000.0,Eastern Asia,0.28706464514536145,0.14348772980729418,0.5136876505488913,0.32282836072021,,,0.14774536142292954,0.14774536142292954,222188035.34250978,111059502.8708457,397594241.5248419,249869151.19744253,,,10209324676.349054,6523717525.968846,133.8380336063351,146.59199129301717
Côte d'Ivoire,CIV,12600000.0,Western Africa,0.4878916276517887,0.25477920754604416,0.7780805414036814,0.495498966489194,0.0004210424530721759,0.0004210424530721759,0.3716706292343837,0.3716706292343837,6147434.508412537,3210218.0150801563,9803814.821686385,6243286.977763845,5305.134908709417,5305.134908709417,791866148.0883219,453326854.6826169,128.81245778294706,141.21372833654655
Cameroon,CMR,11100000.0,Middle Africa,0.3547187991732689,0.14443923270823947,0.6142170982992974,0.3355942279288819,,,0.20482576717610643,0.20482576717610643,3937378.6708232844,1603275.483061458,6817809.791122201,3725095.930010589,,,2455021279.1705236,1336888988.2983248,126.3111215847735,139.80035234148687
DR Congo,COD,38500000.0,Middle Africa,0.2792783181429873,0.20767905666744352,0.7816520881322622,0.6952801163437079,0.00013624679457154064,0.00013624679457154064,0.6379018524442583,0.6379018524442583,10752215.248505011,7995643.681696575,30093605.393092092,26768284.479232755,5245.501591004315,5245.501591004315,1463578083.3236184,1136577881.986044,136.11874850878885,142.1496413838287
Congo Republic,COG,2560000.0,Middle Africa,0.3677877631538451,0.1329892967672164,0.6053411733951549,0.29610517335556985,,,0.15616596376835915,0.15616596376835915,941536.6736738434,340452.599724074,1549673.4038915965,758029.2437902588,,,1246561111.8646894,675401632.1200861,123.85950415563514,139.36844182637722
Colombia,COL,26800000.0,South America,0.2840043556648729,0.11056125873054658,0.47434715213296,0.2403398044775411,0.00032089061709288547,0.00032089061709288547,0.04307205299571914,0.04307205299571914,7611316.731818594,2963041.733978648,12712503.677163329,6441106.759998102,8599.868538089331,8599.868538089331,966959051.1550049,414079388.3204946,127.04228259385108,139.7480783250684
Comoros,COM,276000.0,Eastern Africa,0.2879255991516279,0.14936758696871474,0.5666995346297148,0.3786181478272134,,,0.12781688301856767,0.12781688301856767,79467.4653658493,41225.45400336527,156409.07155780128,104498.6088003109,,,241206085.3186673,177204117.34980455,130.18317175831385,139.2217118733001
Cabo Verde,CPV,224000.0,Western Africa,0.28956481553182395,0.1334391438903855,0.5266542610256243,0.3090129236812333,,,0.11998207881831179,0.11998207881831179,64862.51867912857,29890.36823144635,117970.55446973984,69218.89490459625,,,87031167.66412783,61940203.604163356,126.48789181924646,135.4910652899556
Costa Rica,CRI,2360000.0,Central America,0.26980741108404105,0.10666442711177603,0.43818957377721957,0.21929365004792184,0.0,0.0,0.02154840079341594,0.02154840079341594,636745.4901583368,251728.04798379142,1034127.3941142382,517533.01411309553,0.0,0.0,81582156.89263126,35429525.197657004,128.12365089911287,140.74524265940474
Cuba,CUB,4860000.0,Caribbean,0.2607314370326455,0.08819679972899308,0.4006999999999999,0.1717440854523941,,,0.03081078730896565,0.03081078730896565,1267154.783978657,428636.44668290636,1947401.9999999995,834676.2552986353,,,175708423.47924018,66448801.185019754,124.56668834944558,139.2634206360492
Curaçao,CUW,71999.0,Caribbean,0.23076549850840503,0.10731223548237952,0.38278607738384335,0.21880174270340585,,,0.08816518991566123,0.08816518991566123,16614.885127106652,7726.373642495842,27560.214785559336,15753.506672902518,,,406726.10910404735,196659.51676318093,127.16510183218011,132.22162654315068
Cayman Islands,CYM,60828.0,Caribbean,0.23076549850840503,0.10731223548237952,0.38278607738384335,0.21880174270340585,,,0.08816518991566123,0.08816518991566123,14037.00374326926,6527.588659922181,23284.11151510442,13309.272405162772,,,406726.10910404735,196659.51676318093,127.16510183218011,132.22162654315068
Cyprus,CYP,772000.0,Western Asia,0.20033337328703696,0.06718901184244014,0.28719999999999996,0.11261298200911858,0.005596157518732918,0.005596157518732918,0.01185372304139258,0.01185372304139258,154657.36417759254,51869.91714236379,221718.39999999997,86937.22211103955,4320.233604461812,4320.233604461812,19805793.01332273,7475900.568975627,128.0623985714628,144.12786795970848
Czechia,CZE,5540000.0,Eastern Europe,0.21317525243973734,0.1041798540640926,0.3253263270586962,0.17612334359976395,0.00015715224720972912,0.00015715224720972912,0.00965525183778937,0.00965525183778937,1180990.8985161448,577156.391515073,1802307.8519051769,975723.3235426922,870.6234495418993,870.6234495418993,166060304.51847225,85043246.06468624,140.61099431597535,147.34870360084238
Germany,DEU,43800000.0,Western Europe,0.22680439103060016,0.10587457236334202,0.3042018957894866,0.15062897819409454,0.0015513658889770685,0.0015513658889770685,0.011048404572573665,0.011048404572573665,9934032.327140287,4637306.269514381,13324043.035579512,6597549.244901341,67949.8259371956,67949.8259371956,1451614065.0840592,740090273.6355252,146.12536151288487,159.59486620516603
Djibouti,DJI,265000.0,Eastern Africa,0.22244217126498603,0.09596121042712057,0.4288968792794462,0.21780780983426298,,,0.052640047365236343,0.052640047365236343,58947.1753852213,25429.72076318695,113657.67300905324,57719.06960607969,,,98640579.5696115,47685344.27160251,128.90805246650177,144.45439591586992
Dominica,DMA,32630.0,Caribbean,0.3216811363458125,0.2217340993898841,0.8700072008093995,0.7373006195066895,,,0.3297988234205878,0.3297988234205878,10496.455478963862,7235.183663091918,28388.334962410707,24058.119214503276,,,701236639.8020862,521900630.94408566,132.1158920719187,142.64987368371163
Denmark,DNK,3210000.0,Northern Europe,0.24139125510847195,0.09512809014863866,0.33186293382076026,0.14200155703121914,0.0016930069123862754,0.0016930069123862754,0.012440312673032927,0.012440312673032927,774865.9288981949,305361.1693771301,1065280.0175646404,455824.9980702134,5434.552188759944,5434.552188759944,115680140.48091657,48604918.12212023,149.29052390444582,159.1719019849957
Dominican Republic,DOM,5410000.0,Caribbean,0.2607314370326455,0.08819679972899308,0.4006999999999999,0.1717440854523941,0.0032450893014349747,0.0032450893014349747,0.03081078730896565,0.03081078730896565,1410557.0743466122,477144.68653385254,2167786.9999999995,929135.5022974522,17555.933120763213,17555.933120763213,175708423.47924018,66448801.185019754,124.56668834944558,139.2634206360492
Algeria,DZA,13300000.0,Northern Africa,0.2921314376448042,0.14122841245227752,0.48390000000000005,0.27250935837863804,,,0.04507961152573701,0.04507961152573701,3885348.120675896,1878337.885615291,6435870.000000001,3624374.466435886,,,157220264.52097148,80706216.94030945,126.63136742467991,134.46089050968433
